Age;lx;dx;Dx2;Nx;Sx
0;1000000;5368;1000000;74002116;2939417142
1;994632;726;994632;73002116;2865415026
2;993906;555;993906;72007484;2792412910
3;993351;473;993351;71013578;2720405426
4;992878;404;992878;70020227;2649391848
5;992474;369;992474;69027349;2579371621
6;992105;332;992105;68034875;2510344272
7;991773;313;991773;67042770;2442309397
8;991460;313;991460;66050997;2375266627
9;991147;294;991147;65059537;2309215630
10;990853;312;990853;64068390;2244156093
11;990541;313;990541;63077537;2180087703
12;990228;368;990228;62086996;2117010166
13;989860;438;989860;61096768;2054923170
14;989422;538;989422;60106908;1993826402
15;988884;708;988884;59117486;1933719494
16;988176;897;988176;58128602;1874602008
17;987279;1113;987279;57140426;1816473406
18;986166;1318;986166;56153147;1759332980
19;984848;1466;984848;55166981;1703179833
20;983382;1552;983382;54182133;1648012852
21;981830;1603;981830;53198751;1593830719
22;980227;1631;980227;52216921;1540631968
23;978596;1653;978596;51236694;1488415047
24;976943;1681;976943;50258098;1437178353
25;975262;1710;975262;49281155;1386920255
26;973552;1752;973552;48305893;1337639100
27;971800;1796;971800;47332341;1289333207
28;970004;1838;970004;46360541;1242000866
29;968166;1885;968166;45390537;1195640325
30;966281;1927;966281;44422371;1150249788
31;964354;1964;964354;43456090;1105827417
32;962390;2028;962390;42491736;1062371327
33;960362;2118;960362;41529346;1019879591
34;958244;2244;958244;40568984;978350245
35;956000;2368;956000;39610740;937781261
36;953632;2516;953632;38654740;898170521
37;951116;2671;951116;37701108;859515781
38;948445;2849;948445;36749992;821814673
39;945596;3057;945596;35801547;785064681
40;942539;3296;942539;34855951;749263134
41;939243;3584;939243;33913412;714407183
42;935659;3877;935659;32974169;680493771
43;931782;4194;931782;32038510;647519602
44;927588;4523;927588;31106728;615481092
45;923065;4866;923065;30179140;584374364
46;918199;5200;918199;29256075;554195224
47;912999;5515;912999;28337876;524939149
48;907484;5815;907484;27424877;496601273
49;901669;6108;901669;26517393;469176396
50;895561;6395;895561;25615724;442659003
51;889166;6704;889166;24720163;417043279
52;882462;7027;882462;23830997;392323116
53;875435;7359;875435;22948535;368492119
54;868076;7711;868076;22073100;345543584
55;860365;8066;860365;21205024;323470484
56;852299;8425;852299;20344659;302265460
57;843874;8941;843874;19492360;281920801
58;834933;9531;834933;18648486;262428441
59;825402;10282;825402;17813553;243779955
60;815120;11026;815120;16988151;225966402
61;804094;11913;804094;16173031;208978251
62;792181;12791;792181;15368937;192805220
63;779390;13653;779390;14576756;177436283
64;765737;14647;765737;13797366;162859527
65;751090;15611;751090;13031629;149062161
66;735479;16578;735479;12280539;136030532
67;718901;17371;718901;11545060;123749993
68;701530;18178;701530;10826159;112204933
69;683352;18989;683352;10124629;101378774
70;664363;19812;664363;9441277;91254145
71;644551;20634;644551;8776914;81812868
72;623917;21427;623917;8132363;73035954
73;602490;22187;602490;7508446;64903591
74;580303;22921;580303;6905956;57395145
75;557382;23642;557382;6325653;50489189
76;533740;24351;533740;5768271;44163536
77;509389;25022;509389;5234531;38395265
78;484367;25672;484367;4725142;33160734
79;458695;26347;458695;4240775;28435592
80;432348;27049;432348;3782080;24194817
81;405299;27722;405299;3349732;20412737
82;377577;28260;377577;2944433;17063005
83;349317;28556;349317;2566856;14118572
84;320761;28543;320761;2217539;11551716
85;292218;28248;292218;1896778;9334177
86;263970;27685;263970;1604560;7437399
87;236285;26840;236285;1340590;5832839
88;209445;25718;209445;1104305;4492249
89;183727;24318;183727;894860;3387944
90;159409;22676;159409;711133;2493084
91;136733;21960;136733;551724;1781951
92;114773;21943;114773;414991;1230227
93;92830;21051;92830;300218;815236
94;71779;19222;71779;207388;515018
95;52557;16535;52557;135609;307630
96;36022;13233;36022;83052;172021
97;22789;9706;22789;47030;88969
98;13083;6405;13083;24241;41939
99;6678;3723;6678;11158;17698
100;2955;1855;2955;4480;6540
101;1100;768;1100;1525;2060
102;332;254;332;425;535
103;78;65;78;93;110
104;13;11;13;15;17
105;2;2;2;2;2
106;0;0;0;0;0
